"","0","1","2","3","4","5"
"1",0,1034526,1323981,1267470,369168,35256
"2",0,221,3654,16630,17018,2602
"3",0,33631,63740,151364,39909,3406
"4",0,3335,1189,367,111,5
"5",0,639,3003,12898,1558,169
"6",0,47265,48020,57427,4268,42
