"","0","1","2","3","4","5"
"0",176694,558,809,1441,404,76
"1",0,1028317,1290264,1177570,274080,19216
"2",0,942,18044,64903,91863,16898
"3",0,34912,74648,185743,58400,5125
"4",0,578,616,1199,960,118
"5",0,228,2025,8167,896,96
"6",0,54640,57990,68576,5833,27
